Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
USA,106627427,1159824,104549551,918052,1176834935,334805269
India,44939515,531508,44356693,"51,314",926496579,1406631776
France,39980570,166556,39677000,137014,271490188,65584518
Germany,38403667,173044,38192900,"37,723",122332384,83883596
Brazil,37449418,701494,36249161,498763,63776166,215353593
Japan,33700970,"74,501",21725273,11901196,99984094,125584838
S. Korea,31157272,"34,474",30896033,226765,15804065,51329899
Italy,25788387,189738,25468617,130032,271449155,60262770
UK,24555629,221943,24310623,"23,063",522526476,68497907
Russia,22839878,398239,22236983,204656,273400000,145805947
Turkey,17232066,102174,0,0,162743369,85561976
Spain,13825052,120715,13665628,"38,709",471036328,46719142
Vietnam,11557969,"43,188",10620576,894205,85826548,98953541
Australia,11441894,"20,272",11394719,"26,903",78835048,26068792
Taiwan,10239998,"19,005",10220993,0,30742304,23888595
Argentina,10044957,130472,9914485,0,35716069,46010234
Netherlands,8610372,"22,992",8586242,"1,138",25984435,17211447
Iran,7606689,146005,7342490,118194,55353767,86022837
Mexico,7583417,333876,6828311,421230,19903879,131562772
Indonesia,6771072,161258,6597965,"11,849",114158919,279134505
Poland,6513550,119551,5335940,1058059,38659837,37739785
Colombia,6364636,142713,6187047,"34,876",36951507,51512762
Austria,6064193,"22,369",6029908,"11,916",211273524,9066710
Greece,5999934,"36,711",5951126,"12,097",102228365,10316637
Portugal,5580792,"26,550",5548480,"5,762",46082209,10140570
Ukraine,5518614,112023,5372913,"33,678",32603805,43192122
Chile,5283617,"64,497",5217926,"1,194",49375779,19250195
Malaysia,5066877,"37,011",5015705,"14,161",68344917,33181072
Israel,4821234,"12,484",4798473,"10,277",41373364,9326000
Belgium,4793425,"34,237",4741299,"17,889",37018657,11668278
DPRK,4772813,74,4772739,0,,25990679
Thailand,4730490,"33,947",4692636,"3,907",17270775,70078203
Canada,4641301,"52,247",4578373,"10,681",66343123,38388419
Czechia,4640168,"42,761",4594361,"3,046",57175790,10736784
Peru,4501130,220122,4277138,"3,870",38521551,33684208
Switzerland,4401379,"14,452",4383180,"3,747",23833472,8773637
Philippines,4091854,"66,444",4020117,"5,293",35004687,112508994
South Africa,4076463,102595,3912506,"61,362",26795090,60756135
Romania,3387788,"68,047",3312844,"6,897",27242332,19031335
Denmark,3180458,"8,542",3170942,974,129265171,5834950
Hong Kong,2890048,"13,527",2870895,"5,626",76127725,7604299
Sweden,2706137,"24,087",2678124,"3,926",19500873,10218971
Serbia,2534036,"18,018",2506652,"9,366",12782645,8653016
Iraq,2465545,"25,375",2439497,673,19544451,42164965
Singapore,2340779,"1,727",2149583,189469,24756666,5943546
New Zealand,2313064,"4,119",2297967,"10,978",7768604,4898203
Hungary,2201355,"48,846",2148647,"3,862",11394556,9606259
Bangladesh,2038174,"29,446",1998448,"10,280",15254399,167885689
Slovakia,1866312,"21,167",1844814,331,7425402,5460193
Georgia,1838936,"17,049",1776548,"45,339",16920079,3968738
Jordan,1746997,"14,122",1731007,"1,868",17201885,10300869
Ireland,1709705,"8,824",1698797,"2,084",13083449,5020199
Pakistan,1580684,"30,657",1538689,"11,338",30571377,229488994
Norway,1483140,"5,213",1476767,"1,160",11002430,5511370
Finland,1473603,"9,308",1458831,"5,464",12069254,5554960
Kazakhstan,1411559,"13,848",1383020,"14,691",11575012,19205043
Slovenia,1343202,"7,100",1328006,"8,096",2847701,2078034
Lithuania,1318372,"9,665",1306389,"2,318",10436425,2661708
Bulgaria,1304280,"38,327",1263053,"2,900",11179933,6844597
Morocco,1273130,"16,297",1256151,682,13001033,37772756
Croatia,1272377,"18,155",1253558,664,5575343,4059286
Guatemala,1248171,"20,189",1226839,"1,143",7213379,18584039
Lebanon,1236631,"10,900",1087587,138144,4795578,6684849
Costa Rica,1227546,"9,339",860711,357496,4659757,5182354
Bolivia,1197151,"22,377",1166111,"8,663",2705422,11992656
Tunisia,1152612,"29,387",0,0,5009562,12046656
Cuba,1113240,"8,530",1104574,136,14345279,11305652
UAE,1062321,"2,349",1045595,"14,377",200309593,10081785
Ecuador,1061100,"36,019",1023510,"1,571",3082403,18113361
Uruguay,1037893,"7,625",1029835,433,6114822,3496016
Panama,1036733,"8,621",1027554,558,7636393,4446964
Mongolia,1007993,"2,179",1005764,50,4030048,3378078
Nepal,1002919,"12,029",990515,375,6034506,30225582
Belarus,994037,"7,118",985592,"1,327",13646641,9432800
Latvia,977612,"6,321",970953,338,7873394,1848837
Saudi Arabia,840200,"9,642",826851,"3,707",45436828,35844909
Azerbaijan,831316,"10,238",820834,244,7588338,10300205
Paraguay,809489,"19,913",0,0,2657506,7305843
Bahrain,719799,"1,562",717791,446,10828068,1783983
Sri Lanka,672153,"16,841",655294,18,6486117,21575842
Kuwait,665741,"2,570",660237,"2,934",8455743,4380326
Dominican Republic,661008,"4,384",644785,"11,839",3740928,11056370
Cyprus,658450,"1,354",655550,"1,546",9640118,1223387
Myanmar,634676,"19,491",614778,407,10340364,55227143
Palestine,621008,"5,404",615445,159,3078533,5345541
Moldova,620253,"12,112",504142,103999,3216305,4013171
Estonia,617917,"3,001",524990,"89,926",3703808,1321910
Venezuela,552606,"5,856",546484,266,3359014,29266991
Egypt,515970,"24,613",442182,"49,175",3693367,106156692
Libya,507250,"6,437",500807,6,2483848,7040745
Qatar,506323,690,504400,"1,233",4065369,2979915
China,503302,"5,272",379053,118977,160000000,1448471400
Ethiopia,500817,"7,574",487936,"5,307",5538219,120812698
Réunion,486588,921,418572,"67,095",1603660,908061
Honduras,472533,"11,112",0,0,1652947,10221247
Armenia,448980,"8,746",435162,"5,072",3242901,2971966
Bosnia and Herzegovina,402804,"16,336",379084,"7,384",1884721,3249317
Oman,399449,"4,628",384669,"10,152",25000000,5323993
North Macedonia,348057,"9,672",337068,"1,317",2226216,2081304
Zambia,343901,"4,058",339777,66,4030148,19470234
Kenya,343035,"5,688",337305,42,3967062,56215221
Albania,334726,"3,602",329428,"1,696",1941032,2866374
Botswana,329847,"2,801",327046,0,2026898,2441162
Luxembourg,297757,"1,133",288991,"7,633",4412567,642371
Montenegro,291405,"2,824",287936,645,2747497,627950
Brunei,285740,225,243601,"41,914",717784,445431
Algeria,271707,"6,881",182952,"81,874",230861,45350148
Nigeria,266675,"3,155",259953,"3,567",5708974,216746934
Zimbabwe,264639,"5,686",258888,65,2525756,15331428
Uzbekistan,252725,"1,637",241486,"9,602",1377915,34382084
Mozambique,233334,"2,242",228805,"2,287",1371127,33089461
Martinique,229807,"1,098",0,0,828928,374087
Laos,218077,758,0,0,1233207,7481023
Afghanistan,214763,"7,896",193487,"13,380",1232539,40754388
Iceland,209191,229,0,0,1996384,345393
Kyrgyzstan,206876,"2,991",196406,"7,479",1907195,6728271
Guadeloupe,202482,"1,017",0,0,938039,399794
El Salvador,201785,"4,230",179410,"18,145",2610114,6550389
Trinidad and Tobago,191350,"4,387",186918,45,911009,1406585
Maldives,186241,313,163687,"22,241",2213831,540985
Ghana,171657,"1,462",170161,34,2536496,32395450
Namibia,171222,"4,090",167099,33,1062663,2633874
Uganda,170647,"3,632",100431,"66,584",3012408,48432863
Jamaica,154786,"3,536",102803,"48,447",1183986,2985094
Cambodia,138732,"3,056",135672,4,3091420,17168639
Rwanda,133194,"1,468",131647,79,6021981,13600464
Cameroon,124895,"1,971",122807,117,1751774,27911548
Malta,118441,835,116962,644,2133928,444033
Barbados,107466,588,106869,9,800831,288023
Angola,105384,"1,934",103419,31,1499795,35027343
Channel Islands,101717,228,101321,168,1252808,176463
French Guiana,"98,041",420,"11,254","86,367",651257,314169
DRC,"95,945","1,464","84,489","9,992",846704,95240792
Senegal,"88,995","1,971","87,022",2,1146543,17653671
Malawi,"88,722","2,686","85,644",392,624784,20180839
Ivory Coast,"88,323",834,"87,485",4,1689184,27742298
Suriname,"82,495","1,404",0,0,241666,596831
New Caledonia,"79,922",314,"79,605",3,"98,964",290915
French Polynesia,"78,417",649,0,0,,284164
Eswatini,"74,627","1,425","73,116",86,1048704,1184817
Guyana,"73,162","1,298","71,824",40,728633,794045
Belize,"70,782",688,"70,085",9,576016,412190
Fiji,"68,921",883,"67,029","1,009",670903,909466
Madagascar,"68,211","1,424","66,753",34,530005,29178077
Sudan,"63,993","5,046","58,640",307,562941,45992020
Mauritania,"63,715",997,"62,471",247,1009957,4901981
Cabo Verde,"63,467",413,"62,892",162,401622,567678
Bhutan,"62,663",21,"61,564","1,078",2303734,787941
Syria,"57,508","3,164","54,344",0,146269,19364809
Burundi,"53,731",38,"53,569",124,345742,12624840
Seychelles,"50,937",172,"50,750",15,,"99,426"
Gabon,"48,981",306,"48,674",1,1621909,2331533
Andorra,"47,945",165,"47,563",217,249838,"77,463"
Papua New Guinea,"46,838",670,"43,982","2,186",249149,9292169
Curaçao,"45,986",295,"44,720",971,496693,165529
Aruba,"44,114",236,"42,438","1,440",177885,107609
Tanzania,"42,973",846,0,0,,63298550
Mauritius,"42,152","1,045","40,357",750,358675,1274727
Mayotte,"42,027",188,0,0,176919,286259
Togo,"39,483",290,"39,178",15,810887,8680837
Guinea,"38,462",467,"37,757",238,660107,13865691
Bahamas,"38,084",844,"36,366",874,257839,400516
Isle of Man,"38,008",116,0,0,150753,"85,732"
Lesotho,"34,790",723,"25,980","8,087",431221,2175699
Faeroe Islands,"34,658",28,0,0,778000,"49,233"
Haiti,"34,228",860,"33,342",26,132422,11680283
Mali,"33,144",743,"32,321",80,803224,21473764
Cayman Islands,"31,472",37,"8,553","22,882",222773,"67,277"
Saint Lucia,"30,052",409,"29,095",548,210983,185113
Benin,"28,014",163,"27,847",4,604310,12784726
Somalia,"27,334","1,361","13,182","12,791",400466,16841795
Micronesia,"26,080",65,0,0,"81,349",117489
Congo,"25,375",386,"24,006",983,347815,5797805
Solomon Islands,"24,575",153,0,0,,721159
San Marino,"24,069",125,"23,868",76,196855,"34,085"
Timor-Leste,"23,428",138,"23,102",188,278529,1369429
Burkina Faso,"22,056",396,"21,596",64,248995,22102838
Liechtenstein,"21,437",91,"21,345",1,112457,"38,387"
Gibraltar,"20,550",113,"16,579","3,858",534283,"33,704"
Grenada,"19,693",238,"19,358",97,182981,113475
Bermuda,"18,860",165,"18,685",10,1029558,"61,939"
Nicaragua,"18,491",225,"4,225","14,041",,6779100
South Sudan,"18,368",138,"18,115",115,410280,11618511
Tajikistan,"17,786",125,"17,264",397,,9957464
Equatorial Guinea,"17,229",183,"16,907",139,365697,1496662
Tonga,"16,814",13,"15,638","1,163",535009,107749
Samoa,"16,737",31,"1,605","15,101",187397,202239
Monaco,"16,178",67,"15,992",119,"78,646","39,783"
Marshall Islands,"16,081",17,"15,954",110,,"60,057"
Dominica,"15,760",74,"15,673",13,229344,"72,344"
Djibouti,"15,690",189,"15,427",74,305941,1016097
CAR,"15,368",113,"15,200",55,"81,294",5016678
Gambia,"12,626",372,"12,189",65,155686,2558482
Saint Martin,"12,293",63,"1,399","10,831",112382,"39,730"
Vanuatu,"12,014",14,"11,976",24,"24,976",321832
Greenland,"11,971",21,"2,761","9,189",164926,"56,973"
Yemen,"11,945","2,159","9,124",662,329592,31154867
Caribbean Netherlands,"11,682",38,"10,476","1,168","30,126","26,647"
Sint Maarten,"11,030",92,"10,905",33,"62,056","43,966"
Eritrea,"10,189",103,"10,086",0,"23,693",3662244
Niger,"9,931",312,"8,890",729,254538,26083660
St. Vincent Grenadines,"9,611",124,"9,480",7,114024,111551
Guinea-Bissau,"9,350",176,"8,929",245,145231,2063367
Antigua and Barbuda,"9,106",146,"8,954",6,"18,901","99,509"
Comoros,"9,105",161,"8,939",5,,907419
Liberia,"8,090",295,"7,783",12,139824,5305117
Sierra Leone,"7,762",126,0,0,259958,8306436
Chad,"7,698",194,"4,874","2,630",191341,17413580
British Virgin Islands,"7,305",64,0,0,107339,"30,596"
Cook Islands,"7,062",2,"7,059",1,"19,690","17,571"
Saint Kitts and Nevis,"6,598",48,"6,550",0,126939,"53,871"
Sao Tome and Principe,"6,568",80,"6,482",6,"29,036",227679
Turks and Caicos,"6,565",38,"6,509",18,612335,"39,741"
Palau,"5,999",9,"5,990",0,"69,574","18,233"
St. Barth,"5,485",6,0,0,"78,646","9,945"
Nauru,"5,393",1,"5,347",45,"20,509","10,903"
Kiribati,"5,025",24,"2,703","2,298",,123419
Anguilla,"3,904",12,"3,879",13,"51,382","15,230"
Macao,"3,520",121,"3,396",3,"7,850",667490
Saint Pierre Miquelon,"3,452",2,"2,449","1,001","25,400","5,759"
Wallis and Futuna,"3,427",7,438,"2,982","20,508","10,982"
Tuvalu,"2,805",,,"2,805",,"12,066"
Saint Helena,"2,166",,2,"2,164",,"6,115"
Falkland Islands,"1,930",,"1,930",0,"8,632","3,539"
Montserrat,"1,403",8,"1,376",19,"17,762","4,965"
Niue,801,,801,0,,"1,622"
Diamond Princess,712,13,699,0,,
Vatican City,29,,29,0,,799
Western Sahara,10,1,9,0,,626161
MS Zaandam,9,2,7,0,,
Tokelau,5,,,5,,"1,378"
Total:,687021745,6863517,659552126,20606102,,
