Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,11.5696259,11.9151389,12.25699353,12.60346912,12.9661065,13.374963,13.86376703,14.32471393,14.7241218,15.1727443,15.55100548,16.02716538,16.43399923,16.78904347,17.19698579,17.5971757,18.03424939,18.34587807,18.6953057,19.14994228,19.50183732,,
Afghanistan,6.2,7.2,8.2,9.5,10.9,12.2,13.85,15.3,16.7,18.4,20,21.8,23,24.8,26.1,27.4,28.6,29.7,30.9,31.9,33.2,,
Africa Western and Central,5.101080503,5.231629634,5.319238878,5.512478077,5.655605075,5.838552684,6.069622505,6.321292058,6.55694291,6.839213719,7.189301705,7.517141819,7.932300255,8.442624818,9.000525982,9.727055413,10.60724977,11.59103895,12.66175199,13.83506525,14.9038389,,
Angola,41.1,41.7,41.7,42,41.9,42.6,42.9,43.5,43.6,43.8,44.3,44.8,45.2,45.8,46.5,47.2,47.8,48.4,49.1,49.5,50.2,,
Albania,38.2,40.5,43.2,46.4,49,51.9,54.8,58.1,60.8,63.6,66.5,68.9,71.3,73.15,74.6,76.2,77.8,78.7,79.8,80.7,81.3,,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Arab World,75.63010339,76.99197605,78.23609261,79.46392416,80.46053101,81.44175268,82.38195481,83.19556631,83.85404866,84.51165743,85.02610979,85.57320929,86.04702056,86.31068711,86.55733539,86.74819196,86.92821739,87.07390083,87.12746024,87.28166263,87.29160517,,
United Arab Emirates,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Argentina,95,95.6,96.1,96.45,97.2,97.5,98.1,98.3,98.6,98.9,99.1,99.3,99.5,99.6,99.7,99.7,99.8,99.8,99.8,99.9,99.9,,
Armenia,79.5,82.2,84.9,87.7,89.9,91.6,92.9,94.2,95,95.7,96.4,96.8,97.2,97.5,97.6,97.8,97.9,98,98,98,98.1,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Azerbaijan,70.3,73.6,76.8,80.3,82.9,85.2,87.4,89.4,90.7,92.1,93.1,94,94.7,95.2,95.5,95.9,96.2,96.4,96.6,96.7,96.8,,
Burundi,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Benin,0.6,0.8,1,1.3,1.7,2.1,2.5,2.9,3.4,3.7,4,4.1,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4,4,,
Burkina Faso,2.7,2.9,3.1,3.4,3.7,3.9,4.4,4.6,5.1,5.4,5.8,6.3,6.7,7.1,7.6,8.1,8.7,9,9.5,10.1,10.6,,
Bangladesh,8.3,8.3,8.4,8.6,8.9,9.2,9.8,10.3,11,11.8,12.7,13.7,14.7,15.8,17.1,18.3,19.3,20.6,21.9,23.4,25,,
Bulgaria,64.96,68.7,72.09,75.09,77.62,79.75,81.48,83,84.2,85.22,86.04,86.7,87.27,87.71,88.11,88.42,88.65,,,,,,
Bahrain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
"Bahamas, The",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
Bosnia and Herzegovina,52.1,51.45,50.9,50.8,49.3,48.9,47.9,47.1,46.7,45.8,45,44.7,44.2,44.2,44.05,43.9,45.2,43.6,44.7,45,45.2,,
Belarus,94.7,95.2,95.8,96.4,96.9,97.1,97.5,97.9,98.15,98.5,98.7,98.8,99,99.1,99.2,99.3,99.4,99.4,99.5,99.5,99.6,,
Belize,79.9,80.6,81.5,81.9,82.6,82.9,83.2,83.3,83.5,83.4,83.6,83.4,83.3,83.3,83,82.9,82.8,82.6,82.4,82.1,82.1,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,62.9,63.9,65,65.9,67.3,68.4,69.8,71.5,73.1,74.7,76.2,77.8,79.3,80.4,81.7,82.7,83.5,84.2,85,85.7,86.1,,
